Airport,Latitude,Longtitude,grp
CJJ,3718,4426,8
CJU,3264,4408,9
GMP,3832,4413,11
HIN,3505,4435,12
ICN,3822,4407,17
ICN,3822,4407,18
ICN,3822,4407,15
ICN,3822,4407,10
ICN,3822,4407,4
ICN,3822,4407,14
ICN,3822,4407,3
ICN,3822,4407,16
ICN,3822,4407,6
ICN,3822,4407,7
PUS,3518,4456,2
PUS,3518,4456,5
PUS,3518,4456,13
PUS,3518,4456,1
CEB,1593,4368,8
CEB,1593,4368,9
CJU,3264,4408,11
CJU,3264,4408,12
FRA,5805,7247,17
HKT,7484,7593,18
HND,3572,4697,15
ICN,3822,4407,10
KHH,2265,4261,4
KIJ,3834,4678,14
PEK,4256,4093,3
PRG,5815,4723,16
PVG,2989,4328,6
PVG,2989,4328,7
SJW,3927,4041,2
TAO,3670,4264,5
WJU,3817,4434,13
YVR,5627,680,1
