,SIG_CD,SIG_ENG_NM,SIG_KOR_NM
0,11110,Jongno-gu,종로구
1,11140,Jung-gu,중구
2,11170,Yongsan-gu,용산구
3,11200,Seongdong-gu,성동구
4,11215,Gwangjin-gu,광진구
5,11230,Dongdaemun-gu,동대문구
6,11260,Jungnang-gu,중랑구
7,11290,Seongbuk-gu,성북구
8,11305,Gangbuk-gu,강북구
9,11320,Dobong-gu,도봉구
10,11350,Nowon-gu,노원구
11,11380,Eunpyeong-gu,은평구
12,11410,Seodaemun-gu,서대문구
13,11440,Mapo-gu,마포구
14,11470,Yangcheon-gu,양천구
15,11500,Gangseo-gu,강서구
16,11530,Guro-gu,구로구
17,11545,Geumcheon-gu,금천구
18,11560,Yeongdeungpo-gu,영등포구
19,11590,Dongjak-gu,동작구
20,11620,Gwanak-gu,관악구
21,11650,Seocho-gu,서초구
22,11680,Gangnam-gu,강남구
23,11710,Songpa-gu,송파구
24,11740,Gangdong-gu,강동구
25,26110,Jung-gu,중구
26,26140,Seo-gu,서구
27,26170,Dong-gu,동구
28,26200,Yeongdo-gu,영도구
29,26230,Busanjin-gu,부산진구
30,26260,Dongnae-gu,동래구
31,26290,Nam-gu,남구
32,26320,Buk-gu,북구
33,26350,Haeundae-gu,해운대구
34,26380,Saha-gu,사하구
35,26410,Geumjeong-gu,금정구
36,26440,Gangseo-gu,강서구
37,26470,Yeonje-gu,연제구
38,26500,Suyeong-gu,수영구
39,26530,Sasang-gu,사상구
40,26710,Gijang-gun,기장군
41,27110,Jung-gu,중구
42,27140,Dong-gu,동구
43,27170,Seo-gu,서구
44,27200,Nam-gu,남구
45,27230,Buk-gu,북구
46,27260,Suseong-gu,수성구
47,27290,Dalseo-gu,달서구
48,27710,Dalseong-gun,달성군
49,28110,Jung-gu,중구
50,28140,Dong-gu,동구
51,28177,Michuhol-gu,미추홀구
52,28185,Yeonsu-gu,연수구
53,28200,Namdong-gu,남동구
54,28237,Bupyeong-gu,부평구
55,28245,Gyeyang-gu,계양구
56,28260,Seo-gu,서구
57,28710,Ganghwa-gun,강화군
58,28720,Ongjin-gun,옹진군
59,29110,Dong-gu,동구
60,29140,Seo-gu,서구
61,29155,Nam-gu,남구
62,29170,Buk-gu,북구
63,29200,Gwangsan-gu,광산구
64,30110,Dong-gu,동구
65,30140,Jung-gu,중구
66,30170,Seo-gu,서구
67,30200,Yuseong-gu,유성구
68,30230,Daedeok-gu,대덕구
69,31110,Jung-gu,중구
70,31140,Nam-gu,남구
71,31170,Dong-gu,동구
72,31200,Buk-gu,북구
73,31710,Ulju-gun,울주군
74,36110,Sejong-si,세종특별자치시
75,41111,"Jangan-gu, Suwon-si",수원시 장안구
76,41113,"Gwonseon-gu, Suwon-si",수원시 권선구
77,41115,"Paldal-gu, Suwon-si",수원시 팔달구
78,41117,"Yeongtong-gu, Suwon-si",수원시 영통구
79,41131,"Sujeong-gu, Seongnam-si",성남시 수정구
80,41133,"Jungwon-gu, Seongnam-si",성남시 중원구
81,41135,"Bundang-gu, Seongnam-si",성남시 분당구
82,41150,Uijeongbu-si,의정부시
83,41171,"Manan-gu, Anyang-si",안양시만안구
84,41173,"Dongan-gu, Anyang-si",안양시동안구
85,41190,Bucheon-si,부천시
86,41210,Gwangmyeong-si,광명시
87,41220,Pyeongtaek-si,평택시
88,41250,Dongducheon-si,동두천시
89,41271,"Sangnok-gu, Ansan-si",안산시상록구
90,41273,"Danwon-gu, Ansan-si",안산시단원구
91,41281,"Deogyang-gu, Goyang-si",고양시덕양구
